Results for track_01.txt:
Iteration 19: Moves: 24, Runtime: 2.28ms
Iteration 20: Moves: 24, Runtime: 2.24ms
Iteration 21: Moves: 24, Runtime: 2.20ms
Iteration 22: Moves: 24, Runtime: 2.27ms
Iteration 23: Moves: 24, Runtime: 2.34ms
Iteration 24: Moves: 24, Runtime: 2.33ms
Iteration 25: Moves: 24, Runtime: 2.14ms
Iteration 26: Moves: 24, Runtime: 2.30ms
Iteration 27: Moves: 24, Runtime: 2.30ms
Iteration 28: Moves: 24, Runtime: 2.37ms
Iteration 29: Moves: 24, Runtime: 2.16ms
Iteration 30: Moves: 24, Runtime: 2.39ms
Iteration 31: Moves: 24, Runtime: 2.33ms
Iteration 32: Moves: 24, Runtime: 2.35ms
Iteration 33: Moves: 24, Runtime: 2.35ms
Iteration 34: Moves: 24, Runtime: 2.16ms
Iteration 35: Moves: 24, Runtime: 2.30ms
Iteration 36: Moves: 24, Runtime: 2.50ms
Iteration 37: Moves: 24, Runtime: 2.42ms
Iteration 38: Moves: 24, Runtime: 2.20ms
Iteration 39: Moves: 24, Runtime: 2.36ms
Iteration 40: Moves: 24, Runtime: 2.73ms
Iteration 41: Moves: 24, Runtime: 3.11ms
Iteration 42: Moves: 24, Runtime: 2.37ms
Iteration 43: Moves: 24, Runtime: 2.39ms
Iteration 44: Moves: 24, Runtime: 2.34ms
Iteration 45: Moves: 24, Runtime: 2.07ms
Iteration 46: Moves: 24, Runtime: 2.36ms
Iteration 47: Moves: 24, Runtime: 2.28ms
Iteration 48: Moves: 24, Runtime: 2.10ms
Iteration 49: Moves: 24, Runtime: 2.29ms
Iteration 50: Moves: 24, Runtime: 2.09ms
Iteration 51: Moves: 24, Runtime: 2.15ms
Iteration 52: Moves: 24, Runtime: 2.45ms
Iteration 53: Moves: 24, Runtime: 2.12ms
Iteration 54: Moves: 24, Runtime: 2.40ms
Iteration 55: Moves: 24, Runtime: 2.17ms
Iteration 56: Moves: 24, Runtime: 2.22ms
Iteration 57: Moves: 24, Runtime: 2.41ms
Iteration 58: Moves: 24, Runtime: 2.20ms
Iteration 59: Moves: 24, Runtime: 2.19ms
Iteration 60: Moves: 24, Runtime: 2.44ms
Iteration 61: Moves: 24, Runtime: 2.32ms
Iteration 62: Moves: 24, Runtime: 2.45ms
Iteration 63: Moves: 24, Runtime: 2.23ms
Iteration 64: Moves: 24, Runtime: 2.20ms
Iteration 65: Moves: 24, Runtime: 2.38ms
Iteration 66: Moves: 24, Runtime: 2.21ms
Iteration 67: Moves: 24, Runtime: 2.22ms
Iteration 68: Moves: 24, Runtime: 2.39ms
Iteration 69: Moves: 24, Runtime: 2.43ms
Iteration 70: Moves: 24, Runtime: 2.49ms
Iteration 71: Moves: 24, Runtime: 2.24ms
Iteration 72: Moves: 24, Runtime: 2.25ms
Iteration 73: Moves: 24, Runtime: 2.49ms
Iteration 74: Moves: 24, Runtime: 2.25ms
Iteration 75: Moves: 24, Runtime: 2.46ms
Iteration 76: Moves: 24, Runtime: 2.34ms
Iteration 77: Moves: 24, Runtime: 2.31ms
Iteration 78: Moves: 24, Runtime: 2.33ms
Iteration 79: Moves: 24, Runtime: 2.26ms
Iteration 80: Moves: 24, Runtime: 2.26ms
Iteration 81: Moves: 24, Runtime: 2.50ms
Iteration 82: Moves: 24, Runtime: 2.67ms
Iteration 83: Moves: 24, Runtime: 4.22ms
Iteration 84: Moves: 24, Runtime: 2.66ms
Iteration 85: Moves: 24, Runtime: 2.24ms
Iteration 86: Moves: 24, Runtime: 2.51ms
Iteration 87: Moves: 24, Runtime: 2.24ms
Iteration 88: Moves: 24, Runtime: 2.33ms
Iteration 89: Moves: 24, Runtime: 2.48ms
Iteration 90: Moves: 24, Runtime: 2.22ms
Iteration 91: Moves: 24, Runtime: 2.42ms
Iteration 92: Moves: 24, Runtime: 2.24ms
Iteration 93: Moves: 24, Runtime: 2.27ms
Iteration 94: Moves: 24, Runtime: 2.46ms
Iteration 95: Moves: 24, Runtime: 2.23ms
Iteration 96: Moves: 24, Runtime: 2.29ms
Iteration 97: Moves: 24, Runtime: 2.44ms
Iteration 98: Moves: 24, Runtime: 2.20ms
Iteration 99: Moves: 24, Runtime: 2.33ms
Iteration 100: Moves: 24, Runtime: 2.26ms
Best Moves: 24 moves
Average Moves: 24.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 1.97ms
Average Runtime: 2.33ms
Deviation Runtime: 0.25ms

Results for track_03.txt:
Iteration 1: Moves: 162, Runtime: 99.45ms
Iteration 2: Moves: 162, Runtime: 97.62ms
Iteration 3: Moves: 162, Runtime: 101.73ms
Iteration 4: Moves: 162, Runtime: 101.22ms
Iteration 5: Moves: 162, Runtime: 99.30ms
Iteration 6: Moves: 162, Runtime: 98.38ms
Iteration 7: Moves: 162, Runtime: 102.14ms
Iteration 8: Moves: 162, Runtime: 103.60ms
Iteration 9: Moves: 162, Runtime: 103.87ms
Iteration 10: Moves: 162, Runtime: 101.47ms
Iteration 11: Moves: 162, Runtime: 96.41ms
Iteration 12: Moves: 162, Runtime: 100.69ms
Iteration 13: Moves: 162, Runtime: 104.98ms
Iteration 14: Moves: 162, Runtime: 102.73ms
Iteration 15: Moves: 162, Runtime: 98.87ms
Iteration 16: Moves: 162, Runtime: 95.90ms
Iteration 17: Moves: 162, Runtime: 96.13ms
Iteration 18: Moves: 162, Runtime: 98.62ms
Iteration 19: Moves: 162, Runtime: 95.83ms
Iteration 20: Moves: 162, Runtime: 94.99ms
Iteration 21: Moves: 162, Runtime: 98.62ms
Iteration 22: Moves: 162, Runtime: 98.22ms
Iteration 23: Moves: 162, Runtime: 103.36ms
Iteration 24: Moves: 162, Runtime: 98.58ms
Iteration 25: Moves: 162, Runtime: 101.52ms
Iteration 26: Moves: 162, Runtime: 100.80ms
Iteration 27: Moves: 162, Runtime: 105.57ms
Iteration 28: Moves: 162, Runtime: 101.56ms
Iteration 29: Moves: 162, Runtime: 101.38ms
Iteration 30: Moves: 162, Runtime: 97.02ms
Iteration 31: Moves: 162, Runtime: 102.31ms
Iteration 32: Moves: 162, Runtime: 104.64ms
Iteration 33: Moves: 162, Runtime: 104.63ms
Iteration 34: Moves: 162, Runtime: 96.51ms
Iteration 35: Moves: 162, Runtime: 99.29ms
Iteration 36: Moves: 162, Runtime: 98.52ms
Iteration 37: Moves: 162, Runtime: 98.29ms
Iteration 38: Moves: 162, Runtime: 104.25ms
Iteration 39: Moves: 162, Runtime: 104.30ms
Iteration 40: Moves: 162, Runtime: 99.20ms
Iteration 41: Moves: 162, Runtime: 106.33ms
Iteration 42: Moves: 162, Runtime: 97.76ms
Iteration 43: Moves: 162, Runtime: 102.63ms
Iteration 44: Moves: 162, Runtime: 104.29ms
Iteration 45: Moves: 162, Runtime: 121.41ms
Iteration 46: Moves: 162, Runtime: 100.83ms
Iteration 47: Moves: 162, Runtime: 99.54ms
Iteration 48: Moves: 162, Runtime: 100.56ms
Iteration 49: Moves: 162, Runtime: 100.97ms
Iteration 50: Moves: 162, Runtime: 104.14ms
Iteration 51: Moves: 162, Runtime: 118.70ms
Iteration 52: Moves: 162, Runtime: 111.59ms
Iteration 53: Moves: 162, Runtime: 99.64ms
Iteration 54: Moves: 162, Runtime: 95.19ms
Iteration 55: Moves: 162, Runtime: 100.80ms
Iteration 56: Moves: 162, Runtime: 99.72ms
Iteration 57: Moves: 162, Runtime: 98.68ms
Iteration 58: Moves: 162, Runtime: 105.28ms
Iteration 59: Moves: 162, Runtime: 102.67ms
Iteration 60: Moves: 162, Runtime: 100.22ms
Iteration 61: Moves: 162, Runtime: 102.58ms
Iteration 62: Moves: 162, Runtime: 103.06ms
Iteration 63: Moves: 162, Runtime: 102.04ms
Iteration 64: Moves: 162, Runtime: 94.90ms
Iteration 65: Moves: 162, Runtime: 98.46ms
Iteration 66: Moves: 162, Runtime: 99.80ms
Iteration 67: Moves: 162, Runtime: 99.21ms
Iteration 68: Moves: 162, Runtime: 97.62ms
Iteration 69: Moves: 162, Runtime: 103.41ms
Iteration 70: Moves: 162, Runtime: 97.91ms
Iteration 71: Moves: 162, Runtime: 103.07ms
Iteration 72: Moves: 162, Runtime: 99.46ms
Iteration 73: Moves: 162, Runtime: 94.86ms
Iteration 74: Moves: 162, Runtime: 100.23ms
Iteration 75: Moves: 162, Runtime: 97.79ms
Iteration 76: Moves: 162, Runtime: 98.90ms
Iteration 77: Moves: 162, Runtime: 100.54ms
Iteration 78: Moves: 162, Runtime: 99.18ms
Iteration 79: Moves: 162, Runtime: 103.33ms
Iteration 80: Moves: 162, Runtime: 102.56ms
Iteration 81: Moves: 162, Runtime: 103.44ms
Iteration 82: Moves: 162, Runtime: 102.58ms
Iteration 83: Moves: 162, Runtime: 97.72ms
Iteration 84: Moves: 162, Runtime: 99.52ms
Iteration 85: Moves: 162, Runtime: 106.51ms
Iteration 86: Moves: 162, Runtime: 102.86ms
Iteration 87: Moves: 162, Runtime: 104.55ms
Iteration 88: Moves: 162, Runtime: 103.89ms
Iteration 89: Moves: 162, Runtime: 105.33ms
Iteration 90: Moves: 162, Runtime: 108.06ms
Iteration 91: Moves: 162, Runtime: 105.04ms
Iteration 92: Moves: 162, Runtime: 107.02ms
Iteration 93: Moves: 162, Runtime: 98.89ms
Iteration 94: Moves: 162, Runtime: 105.57ms
Iteration 95: Moves: 162, Runtime: 111.13ms
Iteration 96: Moves: 162, Runtime: 101.28ms
Iteration 97: Moves: 162, Runtime: 105.33ms
Iteration 98: Moves: 162, Runtime: 104.99ms
Iteration 99: Moves: 162, Runtime: 105.57ms
Iteration 100: Moves: 162, Runtime: 102.01ms
Best Moves: 162 moves
Average Moves: 162.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 94.86ms
Average Runtime: 101.64ms
Deviation Runtime: 4.27ms

Results for track_04.txt:
Iteration 1: Moves: 148, Runtime: 99.91ms
Iteration 2: Moves: 148, Runtime: 96.49ms
Iteration 3: Moves: 148, Runtime: 94.65ms
Iteration 4: Moves: 148, Runtime: 95.34ms
Iteration 5: Moves: 148, Runtime: 94.01ms
Iteration 6: Moves: 148, Runtime: 91.60ms
Iteration 7: Moves: 148, Runtime: 96.16ms
Iteration 8: Moves: 148, Runtime: 98.46ms
Iteration 9: Moves: 148, Runtime: 98.41ms
Iteration 10: Moves: 148, Runtime: 93.57ms
Iteration 11: Moves: 148, Runtime: 94.15ms
Iteration 12: Moves: 148, Runtime: 101.26ms
Iteration 13: Moves: 148, Runtime: 93.96ms
Iteration 14: Moves: 148, Runtime: 99.35ms
Iteration 15: Moves: 148, Runtime: 101.45ms
Iteration 16: Moves: 148, Runtime: 96.86ms
Iteration 17: Moves: 148, Runtime: 99.54ms
Iteration 18: Moves: 148, Runtime: 96.69ms
Iteration 19: Moves: 148, Runtime: 96.60ms
Iteration 20: Moves: 148, Runtime: 95.75ms
Iteration 21: Moves: 148, Runtime: 95.23ms
Iteration 22: Moves: 148, Runtime: 95.31ms
Iteration 23: Moves: 148, Runtime: 94.07ms
Iteration 24: Moves: 148, Runtime: 93.75ms
Iteration 25: Moves: 148, Runtime: 95.65ms
Iteration 26: Moves: 148, Runtime: 98.06ms
Iteration 27: Moves: 148, Runtime: 101.94ms
Iteration 28: Moves: 148, Runtime: 94.33ms
Iteration 29: Moves: 148, Runtime: 98.55ms
Iteration 30: Moves: 148, Runtime: 101.87ms
Iteration 31: Moves: 148, Runtime: 98.29ms
