Results for track_01.txt:
Iteration 15: Moves: 43, Runtime: 1486.94ms
Iteration 16: Moves: 43, Runtime: 1497.82ms
Iteration 17: Moves: 43, Runtime: 1461.77ms
Iteration 18: Moves: 43, Runtime: 1475.39ms
Iteration 19: Moves: 43, Runtime: 1495.90ms
Iteration 20: Moves: 43, Runtime: 1512.39ms
Iteration 21: Moves: 43, Runtime: 1479.49ms
Iteration 22: Moves: 43, Runtime: 1459.69ms
Iteration 23: Moves: 43, Runtime: 1490.80ms
Iteration 24: Moves: 43, Runtime: 1501.25ms
Iteration 25: Moves: 43, Runtime: 1468.91ms
Iteration 26: Moves: 43, Runtime: 1509.04ms
Iteration 27: Moves: 43, Runtime: 1478.42ms
Iteration 28: Moves: 43, Runtime: 1463.60ms
Iteration 29: Moves: 43, Runtime: 1511.49ms
Iteration 30: Moves: 43, Runtime: 1499.83ms
Iteration 31: Moves: 43, Runtime: 1455.98ms
Iteration 32: Moves: 43, Runtime: 1505.42ms
Iteration 33: Moves: 43, Runtime: 1494.03ms
Iteration 34: Moves: 43, Runtime: 1476.21ms
Iteration 35: Moves: 43, Runtime: 1472.21ms
Iteration 36: Moves: 43, Runtime: 1493.80ms
Iteration 37: Moves: 43, Runtime: 1490.24ms
Iteration 38: Moves: 43, Runtime: 1492.77ms
Iteration 39: Moves: 43, Runtime: 1469.69ms
Iteration 40: Moves: 43, Runtime: 1515.99ms
Iteration 41: Moves: 43, Runtime: 1481.97ms
Iteration 42: Moves: 43, Runtime: 1493.07ms
Iteration 43: Moves: 43, Runtime: 1477.82ms
Iteration 44: Moves: 43, Runtime: 1487.72ms
Iteration 45: Moves: 43, Runtime: 1469.86ms
Iteration 46: Moves: 43, Runtime: 1482.67ms
Iteration 47: Moves: 43, Runtime: 1469.76ms
Iteration 48: Moves: 43, Runtime: 1572.42ms
Iteration 49: Moves: 43, Runtime: 1471.43ms
Iteration 50: Moves: 43, Runtime: 1481.12ms
Best Moves: 43 moves
Average Moves: 43.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 1430.00ms
Average Runtime: 1481.35ms
Deviation Runtime: 21.92ms

Results for track_04.txt:
Iteration 1: Moves: 50, Runtime: 1625.55ms
Iteration 2: Moves: 50, Runtime: 1626.67ms
Iteration 3: Moves: 50, Runtime: 1614.32ms
Iteration 4: Moves: 50, Runtime: 1638.32ms
Iteration 5: Moves: 50, Runtime: 1609.22ms
Iteration 6: Moves: 50, Runtime: 1647.71ms
Iteration 7: Moves: 50, Runtime: 1614.58ms
Iteration 8: Moves: 50, Runtime: 1694.14ms
Iteration 9: Moves: 50, Runtime: 1652.04ms
Iteration 10: Moves: 50, Runtime: 1614.48ms
Iteration 11: Moves: 50, Runtime: 1605.46ms
Iteration 12: Moves: 50, Runtime: 1610.53ms
Iteration 13: Moves: 50, Runtime: 1616.79ms
Iteration 14: Moves: 50, Runtime: 1612.89ms
Iteration 15: Moves: 50, Runtime: 1667.01ms
Iteration 16: Moves: 50, Runtime: 1618.34ms
Iteration 17: Moves: 50, Runtime: 1646.32ms
Iteration 18: Moves: 50, Runtime: 1645.55ms
Iteration 19: Moves: 50, Runtime: 1670.91ms
Iteration 20: Moves: 50, Runtime: 1650.68ms
Iteration 21: Moves: 50, Runtime: 1644.02ms
Iteration 22: Moves: 50, Runtime: 1630.91ms
Iteration 23: Moves: 50, Runtime: 1642.70ms
Iteration 24: Moves: 50, Runtime: 1672.78ms
Iteration 25: Moves: 50, Runtime: 1607.29ms
Iteration 26: Moves: 50, Runtime: 1625.22ms
Iteration 27: Moves: 50, Runtime: 1668.76ms
Iteration 28: Moves: 50, Runtime: 1884.94ms
Iteration 29: Moves: 50, Runtime: 1691.08ms
Iteration 30: Moves: 50, Runtime: 1649.11ms
Iteration 31: Moves: 50, Runtime: 1654.73ms
Iteration 32: Moves: 50, Runtime: 1684.95ms
Iteration 33: Moves: 50, Runtime: 1689.17ms
Iteration 34: Moves: 50, Runtime: 1656.49ms
Iteration 35: Moves: 50, Runtime: 1632.83ms
Iteration 36: Moves: 50, Runtime: 1762.17ms
Iteration 37: Moves: 50, Runtime: 1655.23ms
Iteration 38: Moves: 50, Runtime: 1643.53ms
Iteration 39: Moves: 50, Runtime: 1680.11ms
Iteration 40: Moves: 50, Runtime: 1739.22ms
Iteration 41: Moves: 50, Runtime: 1643.82ms
Iteration 42: Moves: 50, Runtime: 1662.05ms
Iteration 43: Moves: 50, Runtime: 1717.44ms
Iteration 44: Moves: 50, Runtime: 1672.05ms
Iteration 45: Moves: 50, Runtime: 1669.29ms
Iteration 46: Moves: 50, Runtime: 1657.31ms
Iteration 47: Moves: 50, Runtime: 1666.30ms
Iteration 48: Moves: 50, Runtime: 1783.48ms
Iteration 49: Moves: 50, Runtime: 1666.80ms
Iteration 50: Moves: 50, Runtime: 1878.83ms
Best Moves: 50 moves
Average Moves: 50.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 1605.46ms
Average Runtime: 1664.28ms
Deviation Runtime: 57.95ms

Results for track_05.txt:
Iteration 1: Moves: 103, Runtime: 1552.00ms
Iteration 2: Moves: 103, Runtime: 1565.53ms
Iteration 3: Moves: 103, Runtime: 1576.92ms
Iteration 4: Moves: 103, Runtime: 1582.20ms
Iteration 5: Moves: 103, Runtime: 1577.21ms
Iteration 6: Moves: 103, Runtime: 1580.76ms
Iteration 7: Moves: 103, Runtime: 1599.35ms
Iteration 8: Moves: 103, Runtime: 1570.22ms
Iteration 9: Moves: 103, Runtime: 1570.92ms
Iteration 10: Moves: 103, Runtime: 1665.56ms
Iteration 11: Moves: 103, Runtime: 1583.57ms
Iteration 12: Moves: 103, Runtime: 1566.33ms
Iteration 13: Moves: 103, Runtime: 1610.86ms
Iteration 14: Moves: 103, Runtime: 1592.94ms
Iteration 15: Moves: 103, Runtime: 1596.36ms
Iteration 16: Moves: 103, Runtime: 1578.01ms
Iteration 17: Moves: 103, Runtime: 1577.61ms
Iteration 18: Moves: 103, Runtime: 1595.40ms
Iteration 19: Moves: 103, Runtime: 1582.81ms
Iteration 20: Moves: 103, Runtime: 1594.50ms
Iteration 21: Moves: 103, Runtime: 1601.36ms
Iteration 22: Moves: 103, Runtime: 1602.81ms
Iteration 23: Moves: 103, Runtime: 1612.38ms
Iteration 24: Moves: 103, Runtime: 1602.19ms
Iteration 25: Moves: 103, Runtime: 1622.85ms
